City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
264,Gamba,GA,-2.65,10.0,77.68,92,84,4.18,moderate rain
265,Ondjiva,AO,-17.0667,15.7333,68.27,44,17,5.75,few clouds
266,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,13.41,93,100,10.07,light snow
267,Talara,PE,-4.5772,-81.2719,73.92,77,99,7.36,overcast clouds
268,High Rock,BS,26.6208,-78.2833,69.82,49,0,15.95,clear sky
269,Cartagena,CO,10.3997,-75.5144,80.22,83,75,11.5,broken clouds
270,Lompoc,US,34.6391,-120.4579,62.53,73,100,25.99,overcast clouds
271,Miyazu,JP,35.5333,135.1833,48.4,47,99,11.14,overcast clouds
272,Saint-Augustin,CA,51.226,-58.6502,33.69,97,100,16.84,overcast clouds
273,Souillac,MU,-20.5167,57.5167,77.02,78,5,6.4,clear sky
274,Pangkalanbuun,ID,-2.6833,111.6167,77.27,90,85,2.48,overcast clouds
275,Slave Lake,CA,55.2834,-114.769,36.95,79,100,5.79,overcast clouds
276,Coolum Beach,AU,-26.5333,153.1,73.35,98,97,12.21,light rain
277,Masallatah,LY,32.6167,14.0,59.86,71,86,14.45,overcast clouds
278,Ariquemes,BR,-9.9133,-63.0408,74.21,98,100,2.35,light rain
279,Bilma,NE,18.6853,12.9164,70.54,11,0,7.07,clear sky
280,Waipawa,NZ,-41.4122,175.5153,57.47,73,95,8.03,overcast clouds
281,Takaka,NZ,-40.85,172.8,67.51,59,0,5.59,clear sky
282,Petit Goave,HT,18.4314,-72.8669,78.03,75,78,9.26,broken clouds
283,Pattani,TH,6.75,100.4167,74.91,95,4,1.12,clear sky
284,Pisco,PE,-13.7,-76.2167,68.02,87,50,4.38,scattered clouds
285,Cabedelo,BR,-6.9811,-34.8339,79.47,85,91,9.71,overcast clouds
286,Teacapan,MX,22.55,-105.75,75.81,51,0,9.64,clear sky
287,Crotone,IT,39.0851,17.1178,54.19,78,99,7.54,light rain
288,Alto Araguaia,BR,-17.3147,-53.2153,71.13,88,92,3.38,overcast clouds
289,Tazovskiy,RU,67.4667,78.7,-6.75,100,44,8.43,scattered clouds
290,Ixtapa,MX,20.7,-105.2,74.43,73,0,9.22,clear sky
291,Christchurch,NZ,-43.5333,172.6333,65.95,76,100,17.27,overcast clouds
292,Katsuura,JP,35.1333,140.3,55.6,79,96,10.29,overcast clouds
293,Tucuman,AR,-26.8241,-65.2226,68.0,73,0,6.91,clear sky
294,Gat,IL,31.61,34.7642,51.82,86,1,3.6,clear sky
295,Burns Lake,CA,54.2331,-125.7533,38.86,71,100,3.96,overcast clouds
296,Camalu,MX,30.85,-116.0667,63.14,63,85,5.75,overcast clouds
297,San Andres,CO,12.5847,-81.7006,80.28,74,93,16.8,overcast clouds
298,Nushki,PK,29.5542,66.0215,67.89,16,0,3.02,clear sky
299,Palu,ID,-0.8917,119.8707,80.55,76,99,2.37,light rain
300,Norman Wells,CA,65.282,-126.8329,12.94,88,100,2.35,overcast clouds
301,Nabisar,PK,25.0685,69.6419,75.81,39,0,12.48,clear sky
302,Akureyri,IS,65.6835,-18.0878,20.82,88,99,4.03,overcast clouds
303,Marystown,CA,47.1666,-55.1483,38.86,100,100,7.0,overcast clouds
304,Coihaique,CL,-45.5752,-72.0662,48.15,87,75,10.36,light rain
305,Banda Aceh,ID,5.5577,95.3222,79.7,82,15,2.17,few clouds
306,Lavrentiya,RU,65.5833,-171.0,16.77,77,62,2.91,broken clouds
307,Menongue,AO,-14.6585,17.691,64.76,91,97,2.89,overcast clouds
308,Grindavik,IS,63.8424,-22.4338,41.47,87,100,13.8,overcast clouds
309,Chicama,PE,-7.8447,-79.1469,66.74,68,85,6.22,overcast clouds
310,Mapiri,BO,-15.25,-68.1667,69.17,98,90,0.56,overcast clouds
311,Kavieng,PG,-2.5744,150.7967,84.11,70,84,9.19,broken clouds
312,Kirgiz-Miyaki,RU,53.6324,54.7979,30.83,98,100,10.54,light snow
313,Denpasar,ID,-8.65,115.2167,78.46,94,20,2.3,few clouds
314,Sulangan,PH,11.1373,123.7228,80.8,80,35,10.94,scattered clouds
315,Dole,FR,47.0833,5.5,53.11,81,0,2.3,clear sky
316,Meiganga,CM,6.5167,14.3,69.94,19,9,5.82,clear sky
317,General Roca,AR,-39.0333,-67.5833,70.54,24,0,9.91,clear sky
318,Alzamay,RU,55.5562,98.6644,7.99,97,80,2.73,broken clouds
319,Poso,ID,-1.3959,120.7524,82.96,66,100,2.77,overcast clouds
320,Yining,CN,29.0361,114.5636,54.84,83,32,1.48,scattered clouds
321,Broken Hill,AU,-31.95,141.4333,75.13,41,66,6.87,broken clouds
322,Margate,GB,51.3813,1.3862,46.31,91,2,1.99,clear sky
323,Alice Springs,AU,-23.7,133.8833,78.35,19,1,1.14,clear sky
324,Cibitoke,BI,-2.8833,29.25,60.4,94,100,4.0,light rain
325,Guiratinga,BR,-16.3494,-53.7583,73.49,85,65,2.91,broken clouds
326,East Cleveland,US,41.5331,-81.579,27.9,62,100,17.27,overcast clouds
327,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,87,100,35.68,overcast clouds
328,Qingdao,CN,36.0986,120.3719,45.43,55,36,8.52,scattered clouds
329,Mecca,SA,21.4267,39.8261,71.53,43,0,2.53,clear sky
330,Ola,RU,59.5833,151.2833,14.81,67,100,10.85,overcast clouds
331,Namibe,AO,-15.1961,12.1522,71.98,69,95,9.62,overcast clouds
332,Urucui,BR,-7.2294,-44.5561,75.79,93,100,3.85,overcast clouds
333,Kendari,ID,-3.945,122.4989,80.04,81,87,2.08,moderate rain
334,Constitucion,CL,-35.3333,-72.4167,56.03,80,87,13.38,overcast clouds
335,Tonekabon,IR,36.8163,50.8738,52.66,64,16,2.71,few clouds
336,Santa Ana,US,33.7456,-117.8678,74.57,65,20,12.66,few clouds
337,Bandarbeyla,SO,9.4942,50.8122,77.31,72,10,11.79,clear sky
338,Svetlyy,RU,54.675,20.1347,42.85,80,47,16.71,scattered clouds
339,Williston,US,48.147,-103.618,47.8,32,72,8.01,broken clouds
340,Pecos,US,31.4229,-103.4932,93.29,3,0,4.61,clear sky
341,Tarnogskiy Gorodok,RU,60.4997,43.5761,14.56,86,100,12.1,overcast clouds
342,Qui Nhon,VN,13.7667,109.2333,77.88,87,100,8.81,overcast clouds
343,Najran,SA,17.4924,44.1277,58.71,29,1,2.89,clear sky
344,Awjilah,LY,29.1081,21.2869,60.28,24,0,10.6,clear sky
345,Medea,DZ,36.2642,2.7539,45.05,89,10,4.34,clear sky
346,Shimoda,JP,34.6667,138.95,58.1,62,85,6.91,overcast clouds
347,Kodiak,US,57.79,-152.4072,33.31,100,100,28.77,heavy snow
