City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
500,Ratnagiri,23,IN,2022-03-27 03:30:15,59,16.9833,73.3,83.82,6.78
501,Daru,89,PG,2022-03-27 03:30:16,66,-9.0763,143.2092,87.44,7.92
502,Moberly,0,US,2022-03-27 03:30:16,50,39.4184,-92.4382,36.68,6.91
503,Sovetskiy,100,RU,2022-03-27 03:30:17,90,61.3614,63.5842,17.74,11.99
504,Kruisfontein,2,ZA,2022-03-27 03:30:17,92,-34.0033,24.7314,58.89,4.18
505,Severo-Yeniseyskiy,100,RU,2022-03-27 03:30:18,87,60.3725,93.0408,12.07,12.73
506,Ayan,53,RU,2022-03-27 03:30:18,84,56.45,138.1667,21.27,11.72
507,Izhma,100,RU,2022-03-27 03:30:19,93,65.0083,53.9113,16.27,13.29
508,Mezen,100,RU,2022-03-27 03:30:19,75,65.8522,44.24,13.73,12.41
509,Lagos,34,NG,2022-03-27 03:27:14,88,6.5833,3.75,82.72,3.8
510,Ligayan,100,PH,2022-03-27 03:30:20,76,4.6533,119.4706,82.17,8.19
511,Harper,99,LR,2022-03-27 03:30:20,86,4.375,-7.7169,78.76,2.17
512,La Sarre,100,CA,2022-03-27 03:30:21,88,48.8002,-79.1996,10.9,15.17
513,Guarapari,70,BR,2022-03-27 03:30:21,88,-20.6667,-40.4975,77.9,11.21
514,Manokwari,96,ID,2022-03-27 03:30:22,77,-0.8667,134.0833,81.97,5.19
515,Pangnirtung,11,CA,2022-03-27 03:30:22,59,66.1451,-65.7125,13.98,7.63
516,Caiaponia,99,BR,2022-03-27 03:30:24,91,-16.9567,-51.8103,68.41,2.35
517,Ode,71,NG,2022-03-27 03:30:25,91,7.7899,5.7117,71.53,1.68
518,Fortuna,100,US,2022-03-27 03:30:25,83,40.5982,-124.1573,55.65,2.51
519,Igarka,100,RU,2022-03-27 03:30:26,91,67.4667,86.5833,21.79,7.4
520,Shitanjing,50,CN,2022-03-27 03:30:26,13,39.2342,106.3439,44.17,6.55
521,Chau Doc,5,VN,2022-03-27 03:25:27,50,10.7,105.1167,92.41,7.25
522,Bulawayo,100,ZW,2022-03-27 03:30:27,96,-20.15,28.5833,60.85,7.29
523,High Prairie,99,CA,2022-03-27 03:30:27,95,55.4334,-116.4858,25.36,3.96
524,High Level,20,CA,2022-03-27 03:30:13,57,58.5169,-117.136,17.71,2.3
525,Yeppoon,73,AU,2022-03-27 03:30:28,56,-23.1333,150.7333,83.98,11.03
526,Abu Zabad,63,SD,2022-03-27 03:30:28,14,12.35,29.25,63.93,15.32
527,Ust-Uda,72,RU,2022-03-27 03:30:28,67,54.1742,103.0304,23.72,11.9
528,Cap Malheureux,6,MU,2022-03-27 03:30:29,83,-19.9842,57.6142,79.47,1.99
529,Souillac,20,MU,2022-03-27 03:30:29,94,-20.5167,57.5167,77.38,3.44
530,Santo Tomas,17,PH,2022-03-27 03:30:30,39,14.1079,121.1414,89.85,9.93
531,Laibin,100,CN,2022-03-27 03:30:30,66,23.7,109.2667,60.87,17.58
532,Sinnamary,100,GF,2022-03-27 03:30:31,86,5.3833,-52.95,77.05,10.8
533,Eirunepe,100,BR,2022-03-27 03:30:31,98,-6.6603,-69.8736,73.67,0.36
534,Kirkuk,1,IQ,2022-03-27 03:30:32,59,35.4681,44.3922,48.7,6.06
535,Emerald,100,AU,2022-03-27 03:30:33,68,-23.5333,148.1667,73.54,14.97
536,Karakol,100,KG,2022-03-27 03:30:33,90,42.4907,78.3936,38.01,4.41
537,Laredo,0,US,2022-03-27 03:30:34,14,27.5064,-99.5075,79.09,16.11
538,Xinqing,100,CN,2022-03-27 03:30:34,76,48.2333,129.5,31.44,10.98
539,San Jeronimo,100,PE,2022-03-27 03:30:35,84,-11.9472,-75.2829,52.63,1.97
540,Adelaide,71,AU,2022-03-27 03:28:49,28,-34.9333,138.6,89.85,8.01
541,Masallatah,57,LY,2022-03-27 03:30:35,23,32.6167,14.0,62.13,25.84
542,Kysyl-Syr,100,RU,2022-03-27 03:30:36,89,63.8986,122.7617,23.77,8.43
543,Rio Gallegos,100,AR,2022-03-27 03:25:36,93,-51.6226,-69.2181,46.45,13.8
